,mutation,Mean(LP),Std(Speed),Std(SA),Max(LP),Max(Acc),Max(SA),Mean(SA),Mean(SAS),Std(SAS),Mean(LS),Std(LS),Min(LP),Std(LP),Max(Speed),Mean(Acc),Min(Acc),Std(Acc),Mean(TPP),Std(TPP)
10,udacity_change_epochs_mutated0_MP_50_38,"('killed: True', 'Sector number: 15', ' p_value: 0.04', ' effect_size: -0.6502012448191814')","('killed: True', 'Sector number: 6', ' p_value: 0.044', ' effect_size: 0.6375178620165217')",Not killed by this metric,"('killed: True', 'Sector number: 15', ' p_value: 0.003', ' effect_size: -0.9430448680880517')","('killed: True', 'Sector number: 0', ' p_value: 0.008', ' effect_size: 0.8347066758569136')",Not killed by this metric,Not killed by this metric,Not killed by this metric,Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 20', ' p_value: 0.003', ' effect_size: -0.930976457930326')",Not killed by this metric,"('killed: True', 'Sector number: 10', ' p_value: 0.032', ' effect_size: -0.6774006579891959')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.031', ' effect_size: 0.6839662366902943')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.3611018924284053')",Not killed by this metric,Not killed by this metric
11,udacity_change_epochs_mutated0_MP_50_44,"('killed: True', 'Sector number: 0', ' p_value: 0.02', ' effect_size: -0.7344225810670693')",Not killed by this metric,"('killed: True', 'Sector number: 15', ' p_value: 0.024', ' effect_size: -0.7136544894186325')","('killed: True', 'Sector number: 0', ' p_value: 0.036', ' effect_size: -0.6615782621866549')","('killed: True', 'Sector number: 2', ' p_value: 0.0', ' effect_size: 1.7217183852274394')","('killed: True', 'Sector number: 26', ' p_value: 0.031', ' effect_size: -0.6812926579194368')","('killed: True', 'Sector number: 21', ' p_value: 0.041', ' effect_size: -0.6477429518443664')","('killed: True', 'Sector number: 26', ' p_value: 0.018', ' effect_size: 0.7477436499547767')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.01', ' effect_size: -0.817078676161311')","('killed: True', 'Sector number: 14', ' p_value: 0.007', ' effect_size: -0.8502439989382609')","('killed: True', 'Sector number: 13', ' p_value: 0.028', ' effect_size: -0.6964179999732033')","('killed: True', 'Sector number: 10', ' p_value: 0.003', ' effect_size: -0.9398254976991238')","('killed: True', 'Sector number: 6', ' p_value: 0.029', ' effect_size: 0.6925925340321551')","('killed: True', 'Sector number: 2', ' p_value: 0.018', ' effect_size: 0.7505295457482435')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.003', ' effect_size: -0.9340415051373403')","('killed: True', 'Sector number: 15', ' p_value: 0.008', ' effect_size: 0.8344718502673113')","('killed: True', 'Sector number: 0', ' p_value: 0.008', ' effect_size: -0.8435151067139558')"
12,udacity_change_label_mutated0_MP_100,"('killed: True', 'Sector number: 9', ' p_value: 0.035', ' effect_size: -0.6674065178841061')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.805398760458256')","('killed: True', 'Sector number: 0', ' p_value: 0.019', ' effect_size: -0.7434329338525963')","('killed: True', 'Sector number: 0', ' p_value: 0.02', ' effect_size: 0.7345650941569551')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.181965301942251')","('killed: True', 'Sector number: 1', ' p_value: 0.001', ' effect_size: -1.024748156791863')","('killed: True', 'Sector number: 0', ' p_value: 0.042', ' effect_size: 0.6424155124226305')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -3.245621587698742')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.016', ' effect_size: -0.7595750417999285')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.035', ' effect_size: -0.6663449677574423')","('killed: True', 'Sector number: 1', ' p_value: 0.0', ' effect_size: 1.791621707253368')","('killed: True', 'Sector number: 2', ' p_value: 0.009', ' effect_size: 0.8264009129323419')","('killed: True', 'Sector number: 1', ' p_value: 0.01', ' effect_size: 0.8145594154352576')","('killed: True', 'Sector number: 2', ' p_value: 0.022', ' effect_size: -0.7236723227678095')","('killed: True', 'Sector number: 6', ' p_value: 0.005', ' effect_size: 0.8889208648802099')","('killed: True', 'Sector number: 0', ' p_value: 0.012', ' effect_size: -0.7976400369192155')"
13,udacity_change_label_mutated0_MP_12.5,"('killed: True', 'Sector number: 10', ' p_value: 0.04', ' effect_size: -0.6509028152105564')",Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.004', ' effect_size: -0.9167755905341161')","('killed: True', 'Sector number: 10', ' p_value: 0.013', ' effect_size: -0.7868998466380149')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 1.2586552186446927')","('killed: True', 'Sector number: 2', ' p_value: 0.021', ' effect_size: -0.7315973534694318')","('killed: True', 'Sector number: 17', ' p_value: 0.001', ' effect_size: -1.0957795456788548')","('killed: True', 'Sector number: 3', ' p_value: 0.012', ' effect_size: 0.7964598005229582')","('killed: True', 'Sector number: 19', ' p_value: 0.039', ' effect_size: -0.6513065727394891')","('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.1088284085237419')","('killed: True', 'Sector number: 12', ' p_value: 0.03', ' effect_size: -0.6862240646077364')","('killed: True', 'Sector number: 9', ' p_value: 0.047', ' effect_size: -0.6284255420951471')","('killed: True', 'Sector number: 10', ' p_value: 0.006', ' effect_size: -0.8777626577507605')","('killed: True', 'Sector number: 3', ' p_value: 0.031', ' effect_size: 0.6839685011112225')","('killed: True', 'Sector number: 0', ' p_value: 0.024', ' effect_size: 0.7132643985669429')","('killed: True', 'Sector number: 20', ' p_value: 0.014', ' effect_size: 0.7810725220066136')","('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.4774757150270856')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.002', ' effect_size: -0.9819637609753588')"
14,udacity_change_label_mutated0_MP_15.62,"('killed: True', 'Sector number: 10', ' p_value: 0.023', ' effect_size: -0.7199066068102326')",Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.005', ' effect_size: -0.8961467452230106')","('killed: True', 'Sector number: 10', ' p_value: 0.007', ' effect_size: -0.8520120467384121')","('killed: True', 'Sector number: 0', ' p_value: 0.033', ' effect_size: 0.6738679342435553')","('killed: True', 'Sector number: 15', ' p_value: 0.021', ' effect_size: -0.7302827051308116')","('killed: True', 'Sector number: 3', ' p_value: 0.015', ' effect_size: -0.768107325271515')","('killed: True', 'Sector number: 18', ' p_value: 0.043', ' effect_size: 0.6409662212873896')","('killed: True', 'Sector number: 17', ' p_value: 0.036', ' effect_size: -0.6613580368700076')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.037', ' effect_size: -0.6610523489497414')","('killed: True', 'Sector number: 1', ' p_value: 0.038', ' effect_size: -0.6553371004019486')","('killed: True', 'Sector number: 2', ' p_value: 0.037', ' effect_size: -0.6583040103953799')","('killed: True', 'Sector number: 2', ' p_value: 0.007', ' effect_size: 0.8459333081462416')","('killed: True', 'Sector number: 2', ' p_value: 0.026', ' effect_size: 0.7023680888105727')","('killed: True', 'Sector number: 15', ' p_value: 0.007', ' effect_size: 0.8545898549916816')","('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.603622266857563')","('killed: True', 'Sector number: 2', ' p_value: 0.032', ' effect_size: 0.6785839332563041')","('killed: True', 'Sector number: 2', ' p_value: 0.013', ' effect_size: -0.78145803095375')"
15,udacity_change_label_mutated0_MP_25.0,"('killed: True', 'Sector number: 12', ' p_value: 0.025', ' effect_size: -0.7111776338391188')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 13', ' p_value: 0.049', ' effect_size: -0.621561751941242')","('killed: True', 'Sector number: 1', ' p_value: 0.002', ' effect_size: 0.9924667507178015')",Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 19', ' p_value: 0.038', ' effect_size: 0.6562976277077296')","('killed: True', 'Sector number: 7', ' p_value: 0.01', ' effect_size: -0.8126084233524565')",Not killed by this metric,"('killed: True', 'Sector number: 12', ' p_value: 0.045', ' effect_size: -0.632599704287918')","('killed: True', 'Sector number: 13', ' p_value: 0.022', ' effect_size: -0.7216363567594656')","('killed: True', 'Sector number: 11', ' p_value: 0.011', ' effect_size: -0.7995177963339122')","('killed: True', 'Sector number: 16', ' p_value: 0.045', ' effect_size: 0.6341685679777382')","('killed: True', 'Sector number: 2', ' p_value: 0.019', ' effect_size: 0.744099378488513')","('killed: True', 'Sector number: 10', ' p_value: 0.045', ' effect_size: 0.6327344666282466')","('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.4628103082244726')",Not killed by this metric,"('killed: True', 'Sector number: 16', ' p_value: 0.049', ' effect_size: -0.62261458387311')"
16,udacity_change_label_mutated0_MP_37.5,"('killed: True', 'Sector number: 16', ' p_value: 0.037', ' effect_size: -0.6589091952733771')","('killed: True', 'Sector number: 1', ' p_value: 0.016', ' effect_size: 0.7635990458154333')","('killed: True', 'Sector number: 1', ' p_value: 0.011', ' effect_size: -0.8039014803767711')","('killed: True', 'Sector number: 10', ' p_value: 0.009', ' effect_size: -0.8254474494348679')","('killed: True', 'Sector number: 0', ' p_value: 0.007', ' effect_size: 0.8554713255363986')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.1206797131269945')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.012', ' effect_size: 0.7964599823173355')","('killed: True', 'Sector number: 1', ' p_value: 0.002', ' effect_size: -0.9741630003763314')","('killed: True', 'Sector number: 3', ' p_value: 0.044', ' effect_size: -0.6358250458743064')","('killed: True', 'Sector number: 3', ' p_value: 0.036', ' effect_size: -0.6617459996581577')",Not killed by this metric,"('killed: True', 'Sector number: 10', ' p_value: 0.016', ' effect_size: -0.7590068892566184')","('killed: True', 'Sector number: 2', ' p_value: 0.006', ' effect_size: 0.8649782638899793')","('killed: True', 'Sector number: 2', ' p_value: 0.03', ' effect_size: 0.6879421834027433')","('killed: True', 'Sector number: 10', ' p_value: 0.016', ' effect_size: 0.7639163901209937')","('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.2123915630887971')","('killed: True', 'Sector number: 12', ' p_value: 0.03', ' effect_size: 0.6860625233318545')","('killed: True', 'Sector number: 3', ' p_value: 0.007', ' effect_size: -0.8578317934418357')"
17,udacity_change_label_mutated0_MP_43.75,"('killed: True', 'Sector number: 12', ' p_value: 0.036', ' effect_size: -0.6616324048088217')",Not killed by this metric,"('killed: True', 'Sector number: 1', ' p_value: 0.001', ' effect_size: -1.0858173062357401')","('killed: True', 'Sector number: 11', ' p_value: 0.049', ' effect_size: -0.62304271784638')","('killed: True', 'Sector number: 0', ' p_value: 0.014', ' effect_size: 0.7765947819914948')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.3032405403270177')","('killed: True', 'Sector number: 3', ' p_value: 0.013', ' effect_size: -0.7823822847818505')","('killed: True', 'Sector number: 0', ' p_value: 0.001', ' effect_size: 1.0134575120716194')","('killed: True', 'Sector number: 0', ' p_value: 0.011', ' effect_size: -0.8036660385869521')","('killed: True', 'Sector number: 9', ' p_value: 0.007', ' effect_size: -0.8532189678690385')","('killed: True', 'Sector number: 12', ' p_value: 0.002', ' effect_size: -0.9837593676481857')","('killed: True', 'Sector number: 3', ' p_value: 0.035', ' effect_size: -0.6651242613913184')","('killed: True', 'Sector number: 14', ' p_value: 0.044', ' effect_size: -0.6382692200621988')","('killed: True', 'Sector number: 2', ' p_value: 0.002', ' effect_size: 0.9822343830292877')","('killed: True', 'Sector number: 15', ' p_value: 0.03', ' effect_size: 0.6862176225982297')","('killed: True', 'Sector number: 10', ' p_value: 0.014', ' effect_size: 0.7738404368370622')","('killed: True', 'Sector number: 3', ' p_value: 0.001', ' effect_size: -1.0634751381640064')",Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.011', ' effect_size: -0.7999607171490868')"
18,udacity_change_label_mutated0_MP_46.88,"('killed: True', 'Sector number: 20', ' p_value: 0.006', ' effect_size: -0.8661477362862764')",Not killed by this metric,"('killed: True', 'Sector number: 1', ' p_value: 0.002', ' effect_size: -0.9577542476553987')","('killed: True', 'Sector number: 16', ' p_value: 0.045', ' effect_size: -0.6328866262832765')","('killed: True', 'Sector number: 1', ' p_value: 0.001', ' effect_size: 1.0559860786046915')","('killed: True', 'Sector number: 0', ' p_value: 0.038', ' effect_size: -0.6552746525653843')","('killed: True', 'Sector number: 14', ' p_value: 0.013', ' effect_size: -0.7824932075515202')","('killed: True', 'Sector number: 3', ' p_value: 0.041', ' effect_size: 0.6473880592596')","('killed: True', 'Sector number: 1', ' p_value: 0.001', ' effect_size: -1.0252040285038926')",Not killed by this metric,"('killed: True', 'Sector number: 14', ' p_value: 0.034', ' effect_size: -0.6720294507977014')","('killed: True', 'Sector number: 10', ' p_value: 0.015', ' effect_size: -0.7716210762978774')","('killed: True', 'Sector number: 14', ' p_value: 0.006', ' effect_size: -0.8733127174916747')","('killed: True', 'Sector number: 16', ' p_value: 0.012', ' effect_size: 0.7907638468259025')","('killed: True', 'Sector number: 2', ' p_value: 0.008', ' effect_size: 0.8441161955307948')","('killed: True', 'Sector number: 10', ' p_value: 0.043', ' effect_size: 0.6397887408937251')","('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.3049131260378264')",Not killed by this metric,"('killed: True', 'Sector number: 15', ' p_value: 0.01', ' effect_size: -0.816487512211362')"
19,udacity_change_label_mutated0_MP_50.0,"('killed: True', 'Sector number: 15', ' p_value: 0.029', ' effect_size: -0.6915234206835932')","('killed: True', 'Sector number: 23', ' p_value: 0.026', ' effect_size: 0.7061452563181173')","('killed: True', 'Sector number: 0', ' p_value: 0.024', ' effect_size: -0.713155549098424')","('killed: True', 'Sector number: 10', ' p_value: 0.019', ' effect_size: -0.7444269561684137')","('killed: True', 'Sector number: 0', ' p_value: 0.003', ' effect_size: 0.9450550149339773')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.4505551945946196')","('killed: True', 'Sector number: 16', ' p_value: 0.049', ' effect_size: -0.6238316517758682')","('killed: True', 'Sector number: 9', ' p_value: 0.009', ' effect_size: 0.8304446121635526')","('killed: True', 'Sector number: 0', ' p_value: 0.006', ' effect_size: -0.8768805535826298')","('killed: True', 'Sector number: 9', ' p_value: 0.028', ' effect_size: -0.6969582575042911')","('killed: True', 'Sector number: 12', ' p_value: 0.04', ' effect_size: -0.6500027334950839')","('killed: True', 'Sector number: 13', ' p_value: 0.044', ' effect_size: -0.6371992093023569')","('killed: True', 'Sector number: 2', ' p_value: 0.031', ' effect_size: -0.6831639246002914')","('killed: True', 'Sector number: 2', ' p_value: 0.001', ' effect_size: 1.0130834707194813')","('killed: True', 'Sector number: 2', ' p_value: 0.003', ' effect_size: 0.9333076843180332')","('killed: True', 'Sector number: 2', ' p_value: 0.007', ' effect_size: 0.8563980162787159')","('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.3773377620850789')","('killed: True', 'Sector number: 6', ' p_value: 0.005', ' effect_size: 0.8899371802598236')","('killed: True', 'Sector number: 2', ' p_value: 0.002', ' effect_size: -0.9578506998522812')"
20,udacity_change_learning_rate_mutated0_MP_False_1e-05,"('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.1840429104143693')","('killed: True', 'Sector number: 1', ' p_value: 0.013', ' effect_size: 0.7824163253016605')","('killed: True', 'Sector number: 16', ' p_value: 0.003', ' effect_size: -0.950771583484897')","('killed: True', 'Sector number: 3', ' p_value: 0.024', ' effect_size: -0.7158826726251705')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 1.4907662735651839')","('killed: True', 'Sector number: 16', ' p_value: 0.006', ' effect_size: -0.8670952529825473')","('killed: True', 'Sector number: 0', ' p_value: 0.008', ' effect_size: -0.8408369936087964')","('killed: True', 'Sector number: 0', ' p_value: 0.045', ' effect_size: 0.6352348220600997')","('killed: True', 'Sector number: 16', ' p_value: 0.031', ' effect_size: -0.6822330441237789')","('killed: True', 'Sector number: 0', ' p_value: 0.014', ' effect_size: -0.7758736847960945')","('killed: True', 'Sector number: 19', ' p_value: 0.043', ' effect_size: -0.64032551976013')","('killed: True', 'Sector number: 0', ' p_value: 0.042', ' effect_size: -0.6427910822440089')","('killed: True', 'Sector number: 4', ' p_value: 0.002', ' effect_size: -0.9592860650133695')","('killed: True', 'Sector number: 6', ' p_value: 0.025', ' effect_size: 0.7094362022410907')","('killed: True', 'Sector number: 2', ' p_value: 0.006', ' effect_size: 0.8626496565969975')","('killed: True', 'Sector number: 16', ' p_value: 0.002', ' effect_size: 0.9601431202946462')","('killed: True', 'Sector number: 3', ' p_value: 0.002', ' effect_size: -0.9872916836821263')","('killed: True', 'Sector number: 1', ' p_value: 0.045', ' effect_size: 0.6352263714019004')","('killed: True', 'Sector number: 0', ' p_value: 0.003', ' effect_size: -0.9498174443027109')"
21,udacity_change_learning_rate_mutated0_MP_False_6e-05,"('killed: True', 'Sector number: 24', ' p_value: 0.023', ' effect_size: -0.720036640617367')","('killed: True', 'Sector number: 2', ' p_value: 0.003', ' effect_size: 0.9309569840762318')","('killed: True', 'Sector number: 2', ' p_value: 0.008', ' effect_size: -0.8365723281099241')","('killed: True', 'Sector number: 20', ' p_value: 0.029', ' effect_size: -0.6897755157371281')","('killed: True', 'Sector number: 1', ' p_value: 0.002', ' effect_size: 0.998502414402248')","('killed: True', 'Sector number: 15', ' p_value: 0.015', ' effect_size: -0.7729989621546315')","('killed: True', 'Sector number: 1', ' p_value: 0.007', ' effect_size: -0.8527430445342953')","('killed: True', 'Sector number: 5', ' p_value: 0.023', ' effect_size: 0.7173638815834829')",Not killed by this metric,"('killed: True', 'Sector number: 16', ' p_value: 0.039', ' effect_size: -0.6534541465156138')","('killed: True', 'Sector number: 12', ' p_value: 0.008', ' effect_size: -0.8360881281698107')",Not killed by this metric,"('killed: True', 'Sector number: 20', ' p_value: 0.001', ' effect_size: -1.0120718951880847')","('killed: True', 'Sector number: 2', ' p_value: 0.006', ' effect_size: 0.8715743956842769')","('killed: True', 'Sector number: 2', ' p_value: 0.0', ' effect_size: 1.4098472733925502')","('killed: True', 'Sector number: 4', ' p_value: 0.01', ' effect_size: 0.819316360685881')","('killed: True', 'Sector number: 3', ' p_value: 0.002', ' effect_size: -0.9993720699218922')","('killed: True', 'Sector number: 2', ' p_value: 0.003', ' effect_size: 0.936189459191698')","('killed: True', 'Sector number: 2', ' p_value: 0.026', ' effect_size: -0.7043305614490334')"
22,udacity_change_loss_function_mutated0_MP_logcosh,"('killed: True', 'Sector number: 10', ' p_value: 0.038', ' effect_size: -0.6561626344792878')","('killed: True', 'Sector number: 2', ' p_value: 0.013', ' effect_size: 0.7843014425943654')","('killed: True', 'Sector number: 2', ' p_value: 0.0', ' effect_size: -1.3360834085972628')","('killed: True', 'Sector number: 10', ' p_value: 0.01', ' effect_size: -0.8194544968412186')","('killed: True', 'Sector number: 2', ' p_value: 0.006', ' effect_size: 0.8652714564338407')","('killed: True', 'Sector number: 17', ' p_value: 0.038', ' effect_size: -0.6552788253129208')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.006', ' effect_size: 0.8623573816982208')","('killed: True', 'Sector number: 2', ' p_value: 0.032', ' effect_size: -0.6783374847998178')","('killed: True', 'Sector number: 3', ' p_value: 0.015', ' effect_size: -0.7704341555126486')","('killed: True', 'Sector number: 14', ' p_value: 0.0', ' effect_size: -1.186719495486928')","('killed: True', 'Sector number: 3', ' p_value: 0.041', ' effect_size: -0.6466011484662197')","('killed: True', 'Sector number: 10', ' p_value: 0.013', ' effect_size: -0.7897119519160498')","('killed: True', 'Sector number: 2', ' p_value: 0.001', ' effect_size: 1.0395354210729986')","('killed: True', 'Sector number: 2', ' p_value: 0.008', ' effect_size: 0.8350291698079068')","('killed: True', 'Sector number: 4', ' p_value: 0.029', ' effect_size: 0.6905602866015501')","('killed: True', 'Sector number: 3', ' p_value: 0.036', ' effect_size: -0.6628001548825033')","('killed: True', 'Sector number: 1', ' p_value: 0.035', ' effect_size: 0.6666354685361339')","('killed: True', 'Sector number: 2', ' p_value: 0.022', ' effect_size: -0.7220416987813085')"
23,udacity_change_loss_function_mutated0_MP_mean_absolute_error,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.2145606317629842')",Not killed by this metric,"('killed: True', 'Sector number: 16', ' p_value: 0.045', ' effect_size: -0.6334663482590984')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.5815449031507018')","('killed: True', 'Sector number: 0', ' p_value: 0.031', ' effect_size: 0.6838094652481465')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.4334977763191277')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 1.3789939714460206')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.279457047362504')","('killed: True', 'Sector number: 0', ' p_value: 0.002', ' effect_size: -0.9717998234654732')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.016996142094676')","('killed: True', 'Sector number: 0', ' p_value: 0.008', ' effect_size: -0.8425711892648956')",Not killed by this metric,"('killed: True', 'Sector number: 1', ' p_value: 0.032', ' effect_size: 0.6763346562315559')","('killed: True', 'Sector number: 16', ' p_value: 0.025', ' effect_size: 0.709541054853775')","('killed: True', 'Sector number: 3', ' p_value: 0.002', ' effect_size: -1.0020320432984022')","('killed: True', 'Sector number: 1', ' p_value: 0.007', ' effect_size: 0.8528996817020125')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.9885438498756138')"
24,udacity_change_optimisation_function_mutated0_MP_adagrad,"('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.8467267457636805')","('killed: True', 'Sector number: 4', ' p_value: 0.0', ' effect_size: 1.7370673907998055')","('killed: True', 'Sector number: 16', ' p_value: 0.035', ' effect_size: -0.6672010984287774')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.2202744652151467')","('killed: True', 'Sector number: 2', ' p_value: 0.0', ' effect_size: 2.046468602476335')","('killed: True', 'Sector number: 15', ' p_value: 0.0', ' effect_size: -1.5435645600724544')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.7477061961803164')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: 2.336872656533943')","('killed: True', 'Sector number: 15', ' p_value: 0.017', ' effect_size: -0.7561093542963683')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.6517362683084906')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.195890613474119')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -2.505308560858345')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -1.7521768058899334')","('killed: True', 'Sector number: 6', ' p_value: 0.0', ' effect_size: 1.5164971458665746')","('killed: True', 'Sector number: 2', ' p_value: 0.032', ' effect_size: 0.6776199224687842')","('killed: True', 'Sector number: 15', ' p_value: 0.001', ' effect_size: 1.0597291000880424')","('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.2291034772963663')","('killed: True', 'Sector number: 1', ' p_value: 0.0', ' effect_size: 1.7867806886808193')","('killed: True', 'Sector number: 0', ' p_value: 0.0', ' effect_size: -3.202292097861936')"
25,udacity_change_weights_initialisation_mutated0_MP_constant_4,"('killed: True', 'Sector number: 3', ' p_value: 0.049', ' effect_size: -0.6220124105850021')",Not killed by this metric,"('killed: True', 'Sector number: 1', ' p_value: 0.022', ' effect_size: -0.7246515798015849')",Not killed by this metric,"('killed: True', 'Sector number: 0', ' p_value: 0.02', ' effect_size: 0.735975896486729')","('killed: True', 'Sector number: 0', ' p_value: 0.028', ' effect_size: -0.6938272254321042')","('killed: True', 'Sector number: 20', ' p_value: 0.005', ' effect_size: -0.8874012298458074')","('killed: True', 'Sector number: 3', ' p_value: 0.024', ' effect_size: 0.7113196126522158')",Not killed by this metric,"('killed: True', 'Sector number: 20', ' p_value: 0.014', ' effect_size: -0.7772453571491561')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.002', ' effect_size: -0.9685500130763434')","('killed: True', 'Sector number: 0', ' p_value: 0.045', ' effect_size: -0.6325799636399473')","('killed: True', 'Sector number: 2', ' p_value: 0.02', ' effect_size: 0.7374033768794068')","('killed: True', 'Sector number: 2', ' p_value: 0.001', ' effect_size: 1.075939160869845')","('killed: True', 'Sector number: 15', ' p_value: 0.032', ' effect_size: 0.678312887333985')","('killed: True', 'Sector number: 3', ' p_value: 0.0', ' effect_size: -1.223997837785994')","('killed: True', 'Sector number: 15', ' p_value: 0.016', ' effect_size: 0.7604472311671886')","('killed: True', 'Sector number: 15', ' p_value: 0.002', ' effect_size: -0.9839681629949544')"
26,udacity_change_weights_initialisation_mutated0_MP_glorot_normal_3,"('killed: True', 'Sector number: 9', ' p_value: 0.027', ' effect_size: -0.7008837596010451')",Not killed by this metric,"('killed: True', 'Sector number: 2', ' p_value: 0.046', ' effect_size: -0.6306756527327865')","('killed: True', 'Sector number: 9', ' p_value: 0.048', ' effect_size: -0.6256515895874868')","('killed: True', 'Sector number: 0', ' p_value: 0.01', ' effect_size: 0.8119117954100599')","('killed: True', 'Sector number: 10', ' p_value: 0.045', ' effect_size: -0.6352270679259211')",Not killed by this metric,Not killed by this metric,Not killed by this metric,"('killed: True', 'Sector number: 11', ' p_value: 0.017', ' effect_size: -0.7573141824220077')","('killed: True', 'Sector number: 10', ' p_value: 0.02', ' effect_size: -0.7356410719591482')","('killed: True', 'Sector number: 11', ' p_value: 0.009', ' effect_size: -0.8273140641300345')","('killed: True', 'Sector number: 10', ' p_value: 0.0', ' effect_size: -1.4324598067806604')","('killed: True', 'Sector number: 16', ' p_value: 0.048', ' effect_size: 0.624256669050002')","('killed: True', 'Sector number: 0', ' p_value: 0.034', ' effect_size: 0.6721893513104833')",Not killed by this metric,"('killed: True', 'Sector number: 3', ' p_value: 0.005', ' effect_size: -0.8841100819942643')","('killed: True', 'Sector number: 9', ' p_value: 0.026', ' effect_size: 0.7018653620325269')","('killed: True', 'Sector number: 15', ' p_value: 0.018', ' effect_size: -0.7460429618935961')"
