,Mutant,killed atleast by one metric,Metrics killed it,Killed by model-level data
13,udacity_change_label_mutated0_MP_12.5,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Std(TPP)']",False
14,udacity_change_label_mutated0_MP_15.62,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
15,udacity_change_label_mutated0_MP_25.0,Yes,"['Mean(LP)', 'Max(LP)', 'Max(Acc)', 'Mean(SAS)', 'Std(SAS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Std(TPP)']",True
16,udacity_change_label_mutated0_MP_37.5,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",Missing model-level data
17,udacity_change_label_mutated0_MP_43.75,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Std(TPP)']",Missing model-level data
18,udacity_change_label_mutated0_MP_50.0,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
19,udacity_change_learning_rate_mutated0_MP_False_1e-05,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
20,udacity_change_learning_rate_mutated0_MP_False_4e-05,Yes,"['Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",Missing model-level data
21,udacity_change_learning_rate_mutated0_MP_False_6e-05,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
22,udacity_change_learning_rate_mutated0_MP_False_8e-05,No,[],False
23,udacity_change_loss_function_mutated0_MP_binary_crossentropy,No,[],False
24,udacity_change_loss_function_mutated0_MP_categorical_hinge,No,[],True
25,udacity_change_loss_function_mutated0_MP_hinge,No,[],True
26,udacity_change_loss_function_mutated0_MP_kullback_leibler_divergence,No,[],False
27,udacity_change_loss_function_mutated0_MP_logcosh,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
28,udacity_change_loss_function_mutated0_MP_mean_absolute_error,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
29,udacity_change_loss_function_mutated0_MP_mean_absolute_percentage_error,Yes,"['Mean(LP)', 'Max(LP)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
30,udacity_change_loss_function_mutated0_MP_mean_squared_logarithmic_error,No,[],False
31,udacity_change_loss_function_mutated0_MP_squared_hinge,No,[],True
32,udacity_change_optimisation_function_mutated0_MP_adadelta,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
33,udacity_change_optimisation_function_mutated0_MP_adagrad,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
34,udacity_change_optimisation_function_mutated0_MP_nadam,Yes,"['Mean(LP)', 'Max(LP)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)']",False
35,udacity_change_optimisation_function_mutated0_MP_rmsprop,Yes,"['Mean(LP)', 'Max(LP)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)']",False
36,udacity_change_optimisation_function_mutated0_MP_sgd,No,[],False
37,udacity_change_weights_initialisation_mutated0_MP_glorot_uniform_3,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
38,udacity_change_weights_initialisation_mutated0_MP_identity_4,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
39,udacity_change_weights_initialisation_mutated0_MP_lecun_uniform_4,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Mean(SA)', 'Mean(SAS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Std(Acc)']",False
40,udacity_change_weights_initialisation_mutated0_MP_random_normal_4,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
41,udacity_change_weights_initialisation_mutated0_MP_variance_scaling_4,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
42,udacity_change_weights_initialisation_mutated0_MP_zeros_5,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
43,udacity_delete_training_data_mutated0_MP_12.38,Yes,"['Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
44,udacity_delete_training_data_mutated0_MP_15.48,Yes,"['Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(LS)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",Missing model-level data
45,udacity_delete_training_data_mutated0_MP_18.57,Yes,"['Mean(LP)', 'Max(LP)', 'Max(Acc)', 'Mean(SA)', 'Mean(SAS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Std(Acc)', 'Std(TPP)']",Missing model-level data
46,udacity_delete_training_data_mutated0_MP_24.75,Yes,"['Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Std(TPP)']",True
47,udacity_delete_training_data_mutated0_MP_30.93,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",Missing model-level data
48,udacity_delete_training_data_mutated0_MP_49.5,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Std(TPP)']",True
49,udacity_delete_training_data_mutated0_MP_6.19,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
50,udacity_delete_training_data_mutated0_MP_9.29,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
51,udacity_delete_training_data_mutated0_MP_99,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
52,udacity_make_output_classes_overlap_mutated0_MP_12.5,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Std(LS)', 'Min(LP)', 'Max(Speed)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
53,udacity_remove_activation_function_mutated0_MP_1,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(LS)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
54,udacity_remove_activation_function_mutated0_MP_2,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(Acc)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
55,udacity_remove_activation_function_mutated0_MP_3,Yes,"['Std(Speed)', 'Std(SA)', 'Max(Acc)', 'Mean(SAS)', 'Std(SAS)', 'Std(LS)', 'Min(LP)', 'Max(Speed)', 'Mean(Acc)', 'Std(Acc)', 'Mean(TPP)']",False
56,udacity_remove_bias_mutated0_MP_3,Yes,"['Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(Acc)']",False
57,udacity_remove_validation_set_mutated0_MP,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
58,udacity_unbalance_train_data_mutated0_MP_100,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
59,udacity_unbalance_train_data_mutated0_MP_25.0,Yes,"['Mean(LP)', 'Std(Speed)', 'Max(LP)', 'Max(Acc)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Min(Acc)', 'Std(Acc)', 'Std(TPP)']",Missing model-level data
60,udacity_unbalance_train_data_mutated0_MP_43.75,Yes,"['Mean(LP)', 'Std(Speed)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",Missing model-level data
61,udacity_unbalance_train_data_mutated0_MP_46.88,Yes,"['Mean(LP)', 'Std(Speed)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",Missing model-level data
62,udacity_unbalance_train_data_mutated0_MP_50.0,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",Missing model-level data
63,udacity_change_activation_function_mutated0_MP_sigmoid_4,No,[],Missing model-level data
64,udacity_change_activation_function_mutated0_MP_softplus_4,Yes,"['Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
65,udacity_change_activation_function_mutated0_MP_softsign_4,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
66,udacity_change_activation_function_mutated0_MP_tanh_4,Yes,"['Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Min(Acc)', 'Std(Acc)', 'Std(TPP)']",False
67,udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6,Yes,"['Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
68,udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
69,udacity_change_label_mutated0_MP_100,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Std(LS)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
70,udacity_change_label_mutated0_MP_18.75,Yes,"['Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
71,udacity_change_label_mutated0_MP_46.88,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Std(TPP)']",Missing model-level data
72,udacity_change_learning_rate_mutated0_MP_False_7e-05,Yes,"['Std(SA)', 'Max(Acc)', 'Mean(SA)', 'Std(LS)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
73,udacity_change_weights_initialisation_mutated0_MP_constant_4,Yes,"['Mean(LP)', 'Std(SA)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Mean(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
74,udacity_change_weights_initialisation_mutated0_MP_glorot_normal_3,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
75,udacity_change_weights_initialisation_mutated0_MP_he_normal_3,Yes,"['Mean(LP)', 'Std(Speed)', 'Max(LP)', 'Max(Acc)', 'Mean(SAS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)']",False
76,udacity_change_weights_initialisation_mutated0_MP_orthogonal_4,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Mean(SAS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Std(Acc)']",False
77,udacity_change_weights_initialisation_mutated0_MP_random_uniform_4,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
78,udacity_change_weights_initialisation_mutated0_MP_truncated_normal_4,Yes,"['Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(LS)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",False
79,udacity_delete_training_data_mutated0_MP_34.02,Yes,"['Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",Missing model-level data
80,udacity_delete_training_data_mutated0_MP_37.12,Yes,"['Mean(LP)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Std(TPP)']",Missing model-level data
81,udacity_make_output_classes_overlap_mutated0_MP_100,Yes,"['Mean(LP)', 'Std(Speed)', 'Std(SA)', 'Max(LP)', 'Max(Acc)', 'Max(SA)', 'Mean(SA)', 'Mean(SAS)', 'Std(SAS)', 'Mean(LS)', 'Std(LS)', 'Min(LP)', 'Std(LP)', 'Max(Speed)', 'Mean(Acc)', 'Min(Acc)', 'Std(Acc)', 'Mean(TPP)', 'Std(TPP)']",True
